Term;Key
Water;https://w3id.org/saref#Water
OpenCloseFunction;https://w3id.org/saref#OpenCloseFunction
Entertainment;https://w3id.org/saref#Entertainment
GetMeterDataCommand;https://w3id.org/saref#GetMeterDataCommand
Meter;https://w3id.org/saref#Meter
Notify;https://w3id.org/saref#Notify
Stop;https://w3id.org/saref#Stop
MultiLevelState;https://w3id.org/saref#MultiLevelState
StartState;https://w3id.org/saref#StartState
hasTime;https://w3id.org/saref#hasTime
lux;http://www.wurvoc.org/vocabularies/om-1.8/lux
SensingFunction;https://w3id.org/saref#SensingFunction
hasTimestamp;https://w3id.org/saref#hasTimestamp
EnergyEfficiency;https://w3id.org/saref#EnergyEfficiency
bar;http://www.wurvoc.org/vocabularies/om-1.8/bar
DoorSwitch;https://w3id.org/saref#DoorSwitch
Occupancy;https://w3id.org/saref#Occupancy
Network;https://w3id.org/saref#Network
CloseCommand;https://w3id.org/saref#CloseCommand
Currency;https://w3id.org/saref#Currency
MeteringFunction;https://w3id.org/saref#MeteringFunction
SetRelativeLevel;https://w3id.org/saref#SetRelativeLevel
GetMeterHistoryCommand;https://w3id.org/saref#GetMeterHistoryCommand
hasProfile;https://w3id.org/saref#hasProfile
ToggleCommand;https://w3id.org/saref#ToggleCommand
relatesToProperty;https://w3id.org/saref#relatesToProperty
LightingDevice;https://w3id.org/saref#LightingDevice
Load;https://w3id.org/saref#Load
SetAbsoluteLevel;https://w3id.org/saref#SetAbsoluteLevel
StartStopState;https://w3id.org/saref#StartStopState
WellBeing;https://w3id.org/saref#WellBeing
hasSensingRange;https://w3id.org/saref#hasSensingRange
hasDescription;https://w3id.org/saref#hasDescription
hasValue;https://w3id.org/saref#hasValue
measuresProperty;https://w3id.org/saref#measuresProperty
Switch;https://w3id.org/saref#Switch
TemporalEntity;http://www.w3.org/2006/time#TemporalEntity
hasFunction;https://w3id.org/saref#hasFunction
MeterReading;https://w3id.org/saref#MeterReading
SetLevelCommand;https://w3id.org/saref#SetLevelCommand
PressureUnit;https://w3id.org/saref#PressureUnit
isControlledByDevice;https://w3id.org/saref#isControlledByDevice
Close;https://w3id.org/saref#Close
kilowatt_hour;http://www.wurvoc.org/vocabularies/om-1.8/kilowatt_hour
Generator;https://w3id.org/saref#Generator
WashingMachine;https://w3id.org/saref#WashingMachine
Pause;https://w3id.org/saref#Pause
pascal;http://www.wurvoc.org/vocabularies/om-1.8/pascal
GetMeterHistory;https://w3id.org/saref#GetMeterHistory
Profile;https://w3id.org/saref#Profile
GetSensingData;https://w3id.org/saref#GetSensingData
Off;https://w3id.org/saref#Off
Open;https://w3id.org/saref#Open
hasSensorType;https://w3id.org/saref#hasSensorType
Appliance;https://w3id.org/saref#Appliance
Energy;https://w3id.org/saref#Energy
StepDown;https://w3id.org/saref#StepDown
Humidity;https://w3id.org/saref#Humidity
EventFunction;https://w3id.org/saref#EventFunction
isMeasuredByDevice;https://w3id.org/saref#isMeasuredByDevice
OnState;https://w3id.org/saref#OnState
Property;https://w3id.org/saref#Property
IlluminanceUnit;https://w3id.org/saref#IlluminanceUnit
hasPrice;https://w3id.org/saref#hasPrice
Multimedia;https://w3id.org/saref#Multimedia
Motion;https://w3id.org/saref#Motion
TemporalUnit;http://www.w3.org/2006/time#TemporalUnit
EnergyUnit;https://w3id.org/saref#EnergyUnit
TemperatureSensor;https://w3id.org/saref#TemperatureSensor
LightSwitch;https://w3id.org/saref#LightSwitch
GetCommand;https://w3id.org/saref#GetCommand
controlsProperty;https://w3id.org/saref#controlsProperty
Comfort;https://w3id.org/saref#Comfort
OffCommand;https://w3id.org/saref#OffCommand
GetMeterData;https://w3id.org/saref#GetMeterData
LevelControlFunction;https://w3id.org/saref#LevelControlFunction
StopState;https://w3id.org/saref#StopState
Power;https://w3id.org/saref#Power
kilowatt;http://www.wurvoc.org/vocabularies/om-1.8/kilowatt
Task;https://w3id.org/saref#Task
isOfferedBy;https://w3id.org/saref#isOfferedBy
Start;https://w3id.org/saref#Start
SmokeSensor;https://w3id.org/saref#SmokeSensor
accomplishes;https://w3id.org/saref#accomplishes
Washing;https://w3id.org/saref#Washing
Smoke;https://w3id.org/saref#Smoke
OffState;https://w3id.org/saref#OffState
isCommandOf;https://w3id.org/saref#isCommandOf
HVAC;https://w3id.org/saref#HVAC
StepUp;https://w3id.org/saref#StepUp
Light;https://w3id.org/saref#Light
Coal;https://w3id.org/saref#Coal
hasCommand;https://w3id.org/saref#hasCommand
GetCurrentMeterValueCommand;https://w3id.org/saref#GetCurrentMeterValueCommand
EnergyRelated;https://w3id.org/saref#EnergyRelated
offers;https://w3id.org/saref#offers
hasMeterReading;https://w3id.org/saref#hasMeterReading
OnOffState;https://w3id.org/saref#OnOffState
GetSensingDataCommand;https://w3id.org/saref#GetSensingDataCommand
UnitOfMeasure;https://w3id.org/saref#UnitOfMeasure
SetRelativeLevelCommand;https://w3id.org/saref#SetRelativeLevelCommand
Device;https://w3id.org/saref#Device
TemperatureUnit;https://w3id.org/saref#TemperatureUnit
consistsOf;https://w3id.org/saref#consistsOf
hasState;https://w3id.org/saref#hasState
Pressure;https://w3id.org/saref#Pressure
StepDownCommand;https://w3id.org/saref#StepDownCommand
StopCommand;https://w3id.org/saref#StopCommand
actsUpon;https://w3id.org/saref#actsUpon
Storage;https://w3id.org/saref#Storage
OpenState;https://w3id.org/saref#OpenState
Price;https://w3id.org/saref#Price
State;https://w3id.org/saref#State
Gas;https://w3id.org/saref#Gas
pound_sterling;http://www.wurvoc.org/vocabularies/om-1.8/pound_sterling
PauseCommand;https://w3id.org/saref#PauseCommand
MicroRenewable;https://w3id.org/saref#MicroRenewable
hasThresholdMeasurement;https://w3id.org/saref#hasThresholdMeasurement
United_States_dollar;http://www.wurvoc.org/vocabularies/om-1.8/United_States_dollar
Sensor;https://w3id.org/saref#Sensor
Measurement;https://w3id.org/saref#Measurement
EnergyMeter;https://w3id.org/saref#EnergyMeter
StartStopFunction;https://w3id.org/saref#StartStopFunction
Temperature;https://w3id.org/saref#Temperature
hasName;https://w3id.org/saref#hasName
euro;http://www.wurvoc.org/vocabularies/om-1.8/euro
StartCommand;https://w3id.org/saref#StartCommand
hasMeterReadingType;https://w3id.org/saref#hasMeterReadingType
