Ontology;Value;Term
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_minLength;hasDataRestriction_minLength
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#ThingProperty;ThingProperty
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;http://www.w3.org/2000/01/rdf-schema#Literal;Literal
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#AreaNetwork;AreaNetwork
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#oneM2MTargetURI;oneM2MTargetURI
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#refersTo;refersTo
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_length;hasDataRestriction_length
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#isDataList;isDataList
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#SET_OutputDataPoint;SET_OutputDataPoint
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#SimpleTypeVariable;SimpleTypeVariable
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#ControllingFunction;ControllingFunction
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#OperationOutput;OperationOutput
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#VariableConversion;VariableConversion
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasConversion;hasConversion
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Thing;Thing
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasFunction;hasFunction
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#netTechnologyCommunicationProtocol;netTechnologyCommunicationProtocol
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#InterworkedDevice;InterworkedDevice
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#GET_InputDataPoint;GET_InputDataPoint
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#MeasuringFunction;MeasuringFunction
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#OperationInput;OperationInput
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#netTechnologyPhysicalStandard;netTechnologyPhysicalStandard
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;http://www.w3.org/2001/XMLSchema#string;string
