Term;Key
;FeatureProperty>
Entity;Entity
Platform;Platform
isProvidedOverProtocol;isProvidedOverProtocol
StructuredTypeVariable;StructuredTypeVariable
monitorsFeatureProperty;monitorsFeatureProperty
Aspect;Aspect
Security;Security
actsOnFeatureProperty;actsOnFeatureProperty
makesAccessible;makesAccessible
SensingFunction;SensingFunction
OutputDataPoint;OutputDataPoint
observes;observes
connects;connects
Endpoint;Endpoint
interactsThrough;interactsThrough
Network;Network
DataStore;DataStore
VirtualUser;VirtualUser
hasOutputDataPoint;hasOutputDataPoint
Thing;Thing
Agent;Agent
describesAspect;describesAspect
hosts;hosts
hasDevelopers;hasDevelopers
DigitalThing;DigitalThing
hasValue;hasValue
isPartOf;isPartOf
isAccessibleThrough;isAccessibleThrough
FeatureOfInterest;FeatureOfInterest
hasFunction;hasFunction
hasOutput;hasOutput
isProxyFor;isProxyFor
Application;Application
Person;Person
Link;Link
monitors;monitors
inDeployment;inDeployment
hasFeatureOfInterest;hasFeatureOfInterest
deployedOnPlatform;deployedOnPlatform
hasDataType;hasDataType
communicatesWith;communicatesWith
hasInputDataPoint;hasInputDataPoint
FeatureProperty;FeatureProperty
hasDataRestriction;hasDataRestriction
netTechnologyPhysicalStandard;netTechnologyPhysicalStandard
DigitalUser;DigitalUser
Output;Output
Infrastructure;Infrastructure
hasUsers;hasUsers
Property;Property
address;address
OperationInput;OperationInput
CommunicationProtocol;CommunicationProtocol
Actuation;Actuation
hasResult;hasResult
deployedSystem;deployedSystem
describes;describes
isPropertyOf;isPropertyOf
areConnectedWith;areConnectedWith
hasThingRelation;hasThingRelation
ThingProperty;ThingProperty
SpaceConditioning;SpaceConditioning
hasFunctionality;hasFunctionality
InputDataPoint;InputDataPoint
Medica;Medica
holds;holds
madeActuation;madeActuation
hasMetaData;hasMetaData
Tag;Tag
hasInput;hasInput
Fitness;Fitness
hasSubService;hasSubService
PhysicalThing;PhysicalThing
Electronics;Electronics
Deployment;Deployment
deviceName;deviceName
Result;Result
Input;Input
interactsWith;interactsWith
ObservableProperty;ObservableProperty
HumanUser;HumanUser
MetaData;MetaData
hasCommand;hasCommand
Procedure;Procedure
hasSubSystem;hasSubSystem
Sampling;Sampling
implementedBy;implementedBy
hasSubStructure;hasSubStructure
netTechnologyProfile;netTechnologyProfile
offers;offers
isObservedBy;isObservedBy
serialNumber;serialNumber
encapsulates;encapsulates
hasTag;hasTag
Device;Device
forProperty;forProperty
InterworkedDevice;InterworkedDevice
Resource;Resource
consistsOf;consistsOf
Maintenance;Maintenance
hasProperty;hasProperty
wasOriginatedBy;wasOriginatedBy
IoTSystem;IoTSystem
interactsUsing;interactsUsing
VirtualThing;VirtualThing
Role;Role
hasOperation;hasOperation
implementsSecurity;implementsSecurity
Functionality;Functionality
State;State
Observation;Observation
OperationOutput;OperationOutput
hasRole;hasRole
Sensor;Sensor
implements;implements
Variable;Variable
string;string
netTechnologyCommunicationProtocol;netTechnologyCommunicationProtocol
Transportation;Transportation
Operation;Operation
System;System
represents;represents
Function;Function
hasThingProperty;hasThingProperty
Gateway;Gateway
Lighting;Lighting
exposes;exposes
oneM2MTargetURI;oneM2MTargetURI
Actuator;Actuator
ActuatingFunction;ActuatingFunction
Stimulus;Stimulus
Sample;Sample
Service;Service
thingName;thingName
detects;detects
SimpleTypeVariable;SimpleTypeVariable
AreaNetwork;AreaNetwork
oneM2MAttribute;oneM2MAttribute
Command;Command
PersonalHealth;PersonalHealth
Links;Links
uses;uses
hasManufacturer;hasManufacturer
oneM2MMethod;oneM2MMethod
