Ontology;Value;Term
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#true;true
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#JSONSchema;JSONSchema
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#xsd_integer;xsd_integer
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#maxItems;maxItems
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#null;null
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://purl.org/dc/elements/1.1/publisher;publisher
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#field;field
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#false;false
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#seeAlso;seeAlso
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://www.w3.org/2002/07/owl#versionInfo;versionInfo
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#comment;comment
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://www.w3.org/2003/06/sw-vocab-status/ns#term_status;term_status
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#XSDDatatype;XSDDatatype
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/wot#DataSchema;DataSchema
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#nextArrayItem;nextArrayItem
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://purl.org/dc/terms/creator;creator
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://www.w3.org/2001/XMLSchema#string;string
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral;PlainLiteral
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#anyOf;anyOf
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#Boolean;Boolean
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#string;datatypes#string
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://purl.org/dc/terms/license;license
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://purl.org/vocab/vann/preferredNamespacePrefix;preferredNamespacePrefix
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#String;String
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#Object;Object
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#oneOf;oneOf
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://www.w3.org/2001/XMLSchema#boolean;boolean
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#ObjectField;ObjectField
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://purl.org/dc/terms/modified;modified
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://www.w3.org/2001/XMLSchema#integer;integer
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#Array;Array
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#number;number
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#value;value
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#Number;Number
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#required;required
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#allOf;allOf
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#string;datatypes#string
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://purl.org/dc/elements/1.1/title;title
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#minItems;minItems
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://purl.org/vocab/vann/preferredNamespaceUri;preferredNamespaceUri
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#firstArraryItem;firstArraryItem
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://iot.linkeddata.es/def/datatypes#xsd_float;xsd_float
http://iot.linkeddata.es/def/datatypes/ontology.ttl;http://www.w3.org/2000/01/rdf-schema#label;label
