Term;Key
hasDataRestriction_pattern;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_pattern
hasSubService;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasSubService
hasDataRestriction_minInclusive;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_minInclusive
SensingFunction;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#MeasuringFunction
StructuredTypeVariable;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#StructuredTypeVariable
Aspect;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Aspect
OutputDataPoint;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#OutputDataPoint
hasDataRestriction_minExclusive;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_minExclusive
MetaData;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#MetaData
hasCommand;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasCommand
VariableConversion;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#VariableConversion
hasOutputDataPoint;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasOutputDataPoint
Thing;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Thing
hasSubStructure;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasSubStructure
netTechnologyProfile;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#netTechnologyProfile
refersTo;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#refersTo
Device;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Device
InterworkedDevice;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#InterworkedDevice
GET_InputDataPoint;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#GET_InputDataPoint
consistsOf;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#consistsOf
hasValue;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasValue
isPartOf;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#isPartOf
SET_OutputDataPoint;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#SET_OutputDataPoint
hasOperation;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasOperation
hasConversion;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasConversion
hasFunction;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasFunction
OperationOutput;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#OperationOutput
hasOutput;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasOutput
hasThingAnnotation;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasThingAnnotation
ActuatingFunction;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#ControllingFunction
Variable;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Variable
netTechnologyCommunicationProtocol;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#netTechnologyCommunicationProtocol
hasDataType;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataType
hasInputDataPoint;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasInputDataPoint
Operation;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Operation
exposesCommand;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#exposesCommand
hasDataRestriction;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction
netTechnologyPhysicalStandard;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#netTechnologyPhysicalStandard
Function;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Function
hasDataRestriction_length;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_length
hasThingProperty;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasThingProperty
exposesFunction;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#exposesFunction
hasService;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasService
oneM2MTargetURI;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#oneM2MTargetURI
isDataList;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#isDataList
OperationInput;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#OperationInput
Service;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Service
hasDataRestriction_minLength;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_minLength
describes;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#describes
AreaNetwork;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#AreaNetwork
SimpleTypeVariable;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#SimpleTypeVariable
oneM2MAttribute;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#oneM2MAttribute
convertsTo;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#convertsTo
