Provenance;Terms related;Requirement description;Ontologies that passes the test
http://www.w3.org/ns/ssn;'["http://www.w3.org/ns/sosa/Sensor","https://w3id.org/saref#Sensor"]';What is a sensor?;'["http://www.w3.org/ns/ssn","http://www.w3.org/ns/ssn","https://w3id.org/saref","https://w3id.org/saref"]'
http://www.w3.org/ns/ssn;'["http://www.w3.org/ns/sosa/Actuator","https://w3id.org/saref#Actuator"]';What is an actuator?;'["http://www.w3.org/ns/ssn","https://w3id.org/saref"]'
http://www.w3.org/ns/ssn;'["http://www.w3.org/ns/sosa/Sensor","https://w3id.org/saref#Sensor"]';What is a sensor?;'["http://www.w3.org/ns/ssn","http://www.w3.org/ns/ssn","https://w3id.org/saref","https://w3id.org/saref"]'
http://www.w3.org/ns/ssn;'["http://www.w3.org/ns/ssn/Property","https://w3id.org/saref#Property"]';What is a property?;'["http://www.w3.org/ns/ssn","https://w3id.org/saref"]'
;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#SimpleTypeVariable","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Variable"]';"A simple type variable is a variable that only consists of variables of simple XML types like xsd:integer; string; etc.; potentially including restrictions";'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl"]'
;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#SimpleTypeVariable","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Variable"]';"A simple type variable is a variable that only consists of variables of simple XML types like xsd:integer; string; etc.; potentially including restrictions";'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl"]'
;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Device","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasFunction","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Function","https://w3id.org/saref#Device","https://w3id.org/saref#hasFunction","https://w3id.org/saref#Function"]';A device performs one or more functionalities in order to accomplish a particular task;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl","https://w3id.org/saref"]'
;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Device","https://w3id.org/saref#Device"]';A device may be a physical or non-physical entity;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl","https://w3id.org/saref"]'
;'["http://www.w3.org/2002/07/owl#Thing","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Thing"]';A thing is an entity that can be identified in the oneM2M System.;'["http://www.w3.org/ns/ssn","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl"]'
https://w3id.org/saref#;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Function","https://w3id.org/saref#Function"]';A function represents the functionality necessary to accomplish the task for which a device is designed;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl","https://w3id.org/saref"]'
https://w3id.org/saref#;'["https://w3id.org/saref#EnergyMeter","https://w3id.org/saref#hasFunction","https://w3id.org/saref#MeteringFunction"]';An energy meter is a device that has category Meter;'["https://w3id.org/saref","https://w3id.org/saref"]'
https://w3id.org/saref#;'["https://w3id.org/saref#Device","https://w3id.org/saref#hasModel","http://www.w3.org/2001/XMLSchema#string"]';A device shall have a model property;'["https://w3id.org/saref","https://w3id.org/saref"]'
https://w3id.org/saref#;'["https://w3id.org/saref#Device","https://w3id.org/saref#hasModel","http://www.w3.org/2001/XMLSchema#string"]';A device shall have a model property;'["https://w3id.org/saref","https://w3id.org/saref"]'
https://w3id.org/saref#;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Device","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasFunction","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Function","https://w3id.org/saref#Device","https://w3id.org/saref#hasFunction","https://w3id.org/saref#Function"]';A device performs one or more functions;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl","https://w3id.org/saref"]'
https://w3id.org/saref#;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Device","https://w3id.org/saref#Device"]';What is a device?;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl","https://w3id.org/saref"]'
https://w3id.org/saref#;'["https://w3id.org/saref#EnergyMeter","https://w3id.org/saref#Meter"]';An energy meter is a device that has category Meter;'["https://w3id.org/saref","https://w3id.org/saref"]'
https://w3id.org/saref#;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Device","https://w3id.org/saref#Sensor","https://w3id.org/saref#Device"]';A device may consists of other devices;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl","https://w3id.org/saref","https://w3id.org/saref"]'
https://w3id.org/saref#;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Device","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#consistsOf","https://w3id.org/saref#Device","https://w3id.org/saref#consistsOf"]';A device may consists of other devices;'["https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl","https://w3id.org/saref","https://w3id.org/saref"]'
