Provenance;Terms involved;Ontology;Requirement description;Result
https://w3id.org/saref#;'["Applicance","FunctionRelated","Meter","Device","Actuator","Lighting","HVAC"]';Open Connectivity Foundation (OCF);"The FunctionRelated category can be specialized into: Actuator; Applicance; HVAC; Lighting; Meter; MicroRenewable; Multimedia; Network; Sensor";undefined
https://w3id.org/saref#;'["BuildingRelated","Device","EneryRelated","FunctionRelated"]';Open Connectivity Foundation (OCF);"The devices can be classified into categories: FunctionRelated; EneryRelated and BuildingRelated";undefined
https://w3id.org/saref#;'["BuildingSpace","SpatialObject"]';Open Connectivity Foundation (OCF);"A building space is a geographical point characterized by a certain altitude; latitude and longitude";undefined
https://w3id.org/saref#;'["BuildingObject","closedby","Actuator","openedby"]';Open Connectivity Foundation (OCF);A building object can be opened or closed by an actuator;undefined
https://w3id.org/saref#;'["Meter","FunctionRelated"]';Open Connectivity Foundation (OCF);A meter is a functionRelated device ;undefined
https://w3id.org/saref#;'["DimmerLamp","control","Light"]';Open Connectivity Foundation (OCF);A dimmer lamp performs an actuating level control ;undefined
https://w3id.org/saref#;'["DimmerLamp","performs","LevelControl"]';Open Connectivity Foundation (OCF);A dimmer lamp performs an actuating level control ;undefined
https://w3id.org/saref#;'["DimmerLamp","Actuator","Lighting"]';Open Connectivity Foundation (OCF);A dimmer lamp is a device that has category Lighting and Actuator;undefined
https://w3id.org/saref#;'["Time","consistsOf","TemporalEntity"]';Open Connectivity Foundation (OCF);The time can be specified in terms of instants or intervals;undefined
https://w3id.org/saref#;'["Power","isMeasuredIn","PowerUnit"]';Open Connectivity Foundation (OCF);The power is characterized by a certain value that is measured in a certain unit of measure;undefined
https://w3id.org/saref#;'["Price","isMeasuredIn","Currency"]';Open Connectivity Foundation (OCF);"The price is also characterized by a value using currency; which is a type of unit of measure";undefined
https://w3id.org/saref#;'["Device","control","BuildingObject"]';Open Connectivity Foundation (OCF);"Building objects are objects in the building that can be controlled by devices; such as doors or windows";absent
https://w3id.org/saref#;'["BuildingSpace","contains","Devices","BuildingObjects"]';Open Connectivity Foundation (OCF);A building space contains devices or building objects;undefined
https://w3id.org/saref#;'["Energy","isMeasuredIn","EnergyUnit"]';Open Connectivity Foundation (OCF);The power is characterized by a certain value that is measured in a certain unit of measure;undefined
https://w3id.org/saref#;'["Device","deviceDescription","string"]';Open Connectivity Foundation (OCF);A device can optionally  have a description;absent
https://w3id.org/saref#;'["Device","hasModel","string"]';Open Connectivity Foundation (OCF);A device shall have a model property;passed
https://w3id.org/saref#;'["EnergyMeter","Device","WashingMachine","TemperatureSensor"]';Open Connectivity Foundation (OCF);"Examples of devices are a light switch; a temperature sensor; an energy meter; a washing machine";undefined
https://w3id.org/saref#;'["Device","hasFunction","Function"]';Open Connectivity Foundation (OCF);A device performs one or more functions;absent
https://w3id.org/saref#;["Device"];Open Connectivity Foundation (OCF);What is a device?;passed
https://w3id.org/saref#;'["EnergyMeter","hasFunction","MeteringFunction"]';Open Connectivity Foundation (OCF);An energy meter is a device that has category Meter;undefined
https://w3id.org/saref#;["Function"];Open Connectivity Foundation (OCF);A function represents the functionality necessary to accomplish the task for which a device is designed;undefined
https://w3id.org/saref#;'["DoorSwitch","accomplishes","Safety"]';Open Connectivity Foundation (OCF);A door switch is used for the purpose of controlling doors;undefined
https://w3id.org/saref#;'["DoorSwitch","hasFunction","OpenCloseFunction"]';Open Connectivity Foundation (OCF);A door switch  performs the open/close function;undefined
https://w3id.org/saref#;'["Switch","consistsOf","Actuator"]';Open Connectivity Foundation (OCF);A door switch is a device that consists of a switch;undefined
https://w3id.org/saref#;'["Switch","Actuator"]';Open Connectivity Foundation (OCF); A switch is a device that has category Actuator;undefined
https://w3id.org/saref#;'["SmokeSensor","measuresProperty","Smoke"]';Open Connectivity Foundation (OCF);A smoke sensor  is used for the purpose of sensing smoke;undefined
https://w3id.org/saref#;'["SmokeSensor","hasFunction","EventFunction","SensingFunction"]';Open Connectivity Foundation (OCF);A smoke sensor performs a sensing and event function;undefined
https://w3id.org/saref#;'["SmokeSensor","consistsOf","Sensor"]';Open Connectivity Foundation (OCF);A smoke sensor is a device that consists of a sensor;undefined
https://w3id.org/saref#;'["SmokeSensor","Sensor"]';Open Connectivity Foundation (OCF);A smoke sensor is a device that has category Sensor;undefined
https://w3id.org/saref#;'["WashingMachine","hasFunction","StartStopFunction"]';Open Connectivity Foundation (OCF);A washing machine performs an actuating start/pause function;undefined
https://w3id.org/saref#;'["Washing","Task","WashingMachine","accomplishes"]';Open Connectivity Foundation (OCF);A washing machine accomplishes the task of washing ;undefined
https://w3id.org/saref#;'["Device","hasProfile","Profile"]';Open Connectivity Foundation (OCF);A device can be characterized by a profile. ;absent
https://w3id.org/saref#;'["Device","hasProfile","Profile"]';Open Connectivity Foundation (OCF);A device can be characterized by a profile. ;absent
https://w3id.org/saref#;'["Service","isOfferedBy","Device"]';Open Connectivity Foundation (OCF);A service shall specify the device that is offering the service;undefined
https://w3id.org/saref#;'["Service","isOfferedBy","Device"]';Open Connectivity Foundation (OCF);Multiple devices can offer the same service;undefined
https://w3id.org/saref#;'["Profile","hasTime","Time"]';Open Connectivity Foundation (OCF);The profile production and consumption can be calculated over a time span  ;undefined
https://w3id.org/saref#;'["Profile","hasPrice","Price"]';Open Connectivity Foundation (OCF);The profile production and consumption can be associated to some costs ;undefined
https://w3id.org/saref#;'["Service","isOfferedBy","Device"]';Open Connectivity Foundation (OCF);"A service is offered by at least one device that wants (a certain set of) its function(s) to be discoverable; registerable and remotely controllable by other devices in the network";undefined
https://w3id.org/saref#;["Service"];Open Connectivity Foundation (OCF);"A service is a representation of a function to a network that makes this function discoverable; registerable and remotely controllable by other devices in the network";undefined
https://w3id.org/saref#;'["Device","hasState","State"]';Open Connectivity Foundation (OCF);A device can be found in a correponding state;absent
https://w3id.org/saref#;'["Command","actsUpon","State"]';Open Connectivity Foundation (OCF);A command can act upon a state  to represent that the consequence of a command can be a change of state of the device;undefined
https://w3id.org/saref#;'["Device","offers","Service"]';Open Connectivity Foundation (OCF);A device offers a service;absent
https://w3id.org/saref#;'["ActuatingFunction","Function","MeteringFunction","SensingFunction","EventFunction"]';Open Connectivity Foundation (OCF);"Examples of functions are the  the actuating; sensing; metering or event functions";undefined
https://w3id.org/saref#;'["Service","represent","Function"]';Open Connectivity Foundation (OCF);A service shall represent at least one function;undefined
https://w3id.org/saref#;'["Device","Appliance","Load"]';Open Connectivity Foundation (OCF);A washing machine is a device that has category Appliance  and Load;absent
https://w3id.org/saref#;'["Thermometer","hasFunction","SensingFunction"]';Open Connectivity Foundation (OCF);A temperature senso performs the sensing function and is used for the purpose of sensing temperature;undefined
https://w3id.org/saref#;'["Thermometer","consistsOf","Sensor"]';Open Connectivity Foundation (OCF);A temperature sensor consists of a sensor;undefined
https://w3id.org/saref#;'["Thermometer","Sensor"]';Open Connectivity Foundation (OCF);A temperature sensor is a device that has category sensor;undefined
https://w3id.org/saref#;'["Sensor","hasFunction","SensingFunction"]';Open Connectivity Foundation (OCF);A sensor performs a sensing function;undefined
https://w3id.org/saref#;'["Sensor","Device"]';Open Connectivity Foundation (OCF);A sensor is a type of device;undefined
https://w3id.org/saref#;'["Device","consistsOf"]';Open Connectivity Foundation (OCF);A device may consists of other devices;absent
https://w3id.org/saref#;'["Device","control","BuildingObject"]';Open Connectivity Foundation (OCF);"A device can be used for  the purpose of controlling a building object; such as a door or a window";absent
https://w3id.org/saref#;'["Temperature","Property","Smoke","Energy"]';Open Connectivity Foundation (OCF);"Examples of properties are temperature; energy or smoke";undefined
https://w3id.org/saref#;'["Device","notify","Property"]';Open Connectivity Foundation (OCF);A device can be used for notifying  a property;absent
https://w3id.org/saref#;'["OffCommand","Command","OnCommand","CloseCommand","ToggleCommand"]';Open Connectivity Foundation (OCF);"The commands can be: on; off; open; toggle; close; startm pause; step up; step down; set level; get and notify";undefined
https://w3id.org/saref#;'["Function","hasCommand","Command"]';Open Connectivity Foundation (OCF);A function shall have at least one command associated to it;undefined
https://w3id.org/saref#;'["MeteringFunction","Function","SensingFunction","EventFunction","ActuatingFunction"]';Open Connectivity Foundation (OCF);A function can belong to a function category;undefined
https://w3id.org/saref#;'["LevelControlFuntion","ActuatingFunction","OnOffFunction"]';Open Connectivity Foundation (OCF);"An actuating function can be specialized into on/off; open/close; start/stop or level control functions";undefined
https://w3id.org/saref#;'["Meter","hasFunction","MeteringFunction"]';Open Connectivity Foundation (OCF);A meter performs a metering function;undefined
https://w3id.org/saref#;'["EnergyMeter","Meter"]';Open Connectivity Foundation (OCF);An energy meter is a device that has category Meter;undefined
https://w3id.org/saref#;'["EnergyMeter","consistsOf","Meter"]';Open Connectivity Foundation (OCF);An energy meter is a device that consists of a meter;undefined
https://w3id.org/saref#;[];Open Connectivity Foundation (OCF);The profile allows to describe the energy or power production and consumption of a certain device.  ;undefined
https://w3id.org/saref#;'["Device","observes","ssn:Property"]';Open Connectivity Foundation (OCF);A device can be used for measuring a property;absent
https://w3id.org/saref#;'["Device","hasFunction","SensingFunction"]';Open Connectivity Foundation (OCF);A device can be used for  the purpose of sensing;absent
https://w3id.org/saref#;'["Water","Commodity","Gas"]';Open Connectivity Foundation (OCF);Water or gas are examples of commodities;undefined
https://w3id.org/saref#;'["Device","isUsedFor","Commodity"]';Open Connectivity Foundation (OCF);A device can be used for  the purpose of offering a commodity;absent
https://w3id.org/saref#;'["FunctionRelated","Device","EneryRelated","BuildingRelated"]';Open Connectivity Foundation (OCF);The devices can belong to several categories;undefined
https://w3id.org/saref#;'["Load","EnergyRelated","Generator","Storage"]';Open Connectivity Foundation (OCF);"The EnergyRelated category can be specialized into: Load; Generator and Storage";undefined
http://www.w3.org/ns/ssn;'["Procedure","hasOutput","Output"]';Open Connectivity Foundation (OCF);A procedure has an output;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasResult","Result"]';Open Connectivity Foundation (OCF);A sampling has a result;undefined
http://www.w3.org/ns/ssn;'["Actuation","hasResult","Result"]';Open Connectivity Foundation (OCF);An actuation has a result;undefined
http://www.w3.org/ns/ssn;'["Sample","FeatureOfInterest","Result"]';Open Connectivity Foundation (OCF);A sample is a type of feature of interest and result;undefined
http://www.w3.org/ns/ssn;'["Deployment","forProperty","ssn:Property"]';Open Connectivity Foundation (OCF);Deployment is associated to a property;undefined
http://www.w3.org/ns/ssn;["Sensor"];Open Connectivity Foundation (OCF);What is a sensor?;undefined
http://www.w3.org/ns/ssn;["Actuator"];Open Connectivity Foundation (OCF);What is an actuator?;undefined
http://www.w3.org/ns/ssn;["Procedure"];Open Connectivity Foundation (OCF);What is a procedure?;undefined
http://www.w3.org/ns/ssn;["Deployment"];Open Connectivity Foundation (OCF);What is a deployment?;undefined
http://www.w3.org/ns/ssn;'["Platform","inDeployment","Deployment"]';Open Connectivity Foundation (OCF);Platform has a deployment;undefined
http://www.w3.org/ns/ssn;'["Platform","deployedSystem","System"]';Open Connectivity Foundation (OCF);A platform is deployed by some system;undefined
http://www.w3.org/ns/ssn;["System"];Open Connectivity Foundation (OCF);What is a system?;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasResult","Sample"]';Open Connectivity Foundation (OCF);A sampling is linked to at least one sample;undefined
http://www.w3.org/ns/ssn;'["Sensor","observes","ObservableProperty"]';Open Connectivity Foundation (OCF);A sensor observes only observable properties;undefined
http://www.w3.org/ns/ssn;'["ObservableProperty","ssn:Property"]';Open Connectivity Foundation (OCF);An observable property is a type of property;undefined
http://www.w3.org/ns/ssn;'["ObservableProperty","isObservedBy","Sensor"]';Open Connectivity Foundation (OCF);An observable property is observed by only sensors;undefined
http://www.w3.org/ns/ssn;'["Observation","hasFeatureOfInterest","FeatureOfInterest"]';Open Connectivity Foundation (OCF);An observation is related only to one feature of interest;undefined
http://www.w3.org/ns/ssn;'["Observation","wasOriginatedBy","Stimulus"]';Open Connectivity Foundation (OCF);The observation is originated by  exactly one stimulus;undefined
http://www.w3.org/ns/ssn;'["Observation","hasResult","Result"]';Open Connectivity Foundation (OCF);An observation has only  results;undefined
http://www.w3.org/ns/ssn;'["Sensor","System"]';Open Connectivity Foundation (OCF);A sensor is a type of system;undefined
http://www.w3.org/ns/ssn;["FeatureOfInterest"];Open Connectivity Foundation (OCF);What is feature of interest?;undefined
