Provenance;Terms involved;Ontology;Requirement description;Result
https://saref.etsi.org/core;["Water"];Open Connectivity Foundation (OCF);Water exists in the owlOntology;undefined
https://saref.etsi.org/core;["OpenCloseFunction"];Open Connectivity Foundation (OCF);OpenCloseFunction exists in the owlOntology;undefined
https://saref.etsi.org/core;["Task"];Open Connectivity Foundation (OCF);Task exists in the owlOntology;undefined
https://saref.etsi.org/core;["Meter"];Open Connectivity Foundation (OCF);Meter exists in the owlOntology;undefined
https://saref.etsi.org/core;["GetMeterDataCommand"];Open Connectivity Foundation (OCF);GetMeterDataCommand exists in the owlOntology;undefined
https://saref.etsi.org/core;["SmokeSensor"];Open Connectivity Foundation (OCF);SmokeSensor exists in the owlOntology;undefined
https://saref.etsi.org/core;["MultiLevelState"];Open Connectivity Foundation (OCF);MultiLevelState exists in the owlOntology;undefined
https://saref.etsi.org/core;["Smoke"];Open Connectivity Foundation (OCF);Smoke exists in the owlOntology;undefined
https://saref.etsi.org/core;["StartState"];Open Connectivity Foundation (OCF);StartState exists in the owlOntology;undefined
https://saref.etsi.org/core;["OffState"];Open Connectivity Foundation (OCF);OffState exists in the owlOntology;undefined
https://saref.etsi.org/core;["SensingFunction"];Open Connectivity Foundation (OCF);SensingFunction exists in the owlOntology;undefined
https://saref.etsi.org/core;["HVAC"];Open Connectivity Foundation (OCF);HVAC exists in the owlOntology;undefined
https://saref.etsi.org/core;["DoorSwitch"];Open Connectivity Foundation (OCF);DoorSwitch exists in the owlOntology;undefined
https://saref.etsi.org/core;["Light"];Open Connectivity Foundation (OCF);Light exists in the owlOntology;undefined
https://saref.etsi.org/core;["Coal"];Open Connectivity Foundation (OCF);Coal exists in the owlOntology;undefined
https://saref.etsi.org/core;["CloseCommand"];Open Connectivity Foundation (OCF);CloseCommand exists in the owlOntology;undefined
https://saref.etsi.org/core;["Currency"];Open Connectivity Foundation (OCF);Currency exists in the owlOntology;undefined
https://saref.etsi.org/core;["Occupancy"];Open Connectivity Foundation (OCF);Occupancy exists in the owlOntology;undefined
https://saref.etsi.org/core;["MeteringFunction"];Open Connectivity Foundation (OCF);MeteringFunction exists in the owlOntology;undefined
https://saref.etsi.org/core;["GetCurrentMeterValueCommand"];Open Connectivity Foundation (OCF);GetCurrentMeterValueCommand exists in the owlOntology;undefined
https://saref.etsi.org/core;["GetMeterHistoryCommand"];Open Connectivity Foundation (OCF);GetMeterHistoryCommand exists in the owlOntology;undefined
https://saref.etsi.org/core;["ToggleCommand"];Open Connectivity Foundation (OCF);ToggleCommand exists in the owlOntology;undefined
https://saref.etsi.org/core;["GetSensingDataCommand"];Open Connectivity Foundation (OCF);GetSensingDataCommand exists in the owlOntology;undefined
https://saref.etsi.org/core;["OnOffState"];Open Connectivity Foundation (OCF);OnOffState exists in the owlOntology;undefined
https://saref.etsi.org/core;["UnitOfMeasure"];Open Connectivity Foundation (OCF);UnitOfMeasure exists in the owlOntology;undefined
https://saref.etsi.org/core;["SetRelativeLevelCommand"];Open Connectivity Foundation (OCF);SetRelativeLevelCommand exists in the owlOntology;undefined
https://saref.etsi.org/core;["StartStopState"];Open Connectivity Foundation (OCF);StartStopState exists in the owlOntology;undefined
https://saref.etsi.org/core;["Device"];Open Connectivity Foundation (OCF);Device exists in the owlOntology;passed
https://saref.etsi.org/core;["TemperatureUnit"];Open Connectivity Foundation (OCF);TemperatureUnit exists in the owlOntology;undefined
https://saref.etsi.org/core;["Pressure"];Open Connectivity Foundation (OCF);Pressure exists in the owlOntology;undefined
https://saref.etsi.org/core;["StepDownCommand"];Open Connectivity Foundation (OCF);StepDownCommand exists in the owlOntology;undefined
https://saref.etsi.org/core;["StopCommand"];Open Connectivity Foundation (OCF);StopCommand exists in the owlOntology;undefined
https://saref.etsi.org/core;["OpenState"];Open Connectivity Foundation (OCF);OpenState exists in the owlOntology;undefined
https://saref.etsi.org/core;["Switch"];Open Connectivity Foundation (OCF);Switch exists in the owlOntology;undefined
https://saref.etsi.org/core;["Price"];Open Connectivity Foundation (OCF);Price exists in the owlOntology;undefined
https://saref.etsi.org/core;["FeatureOfInterest"];Open Connectivity Foundation (OCF);FeatureOfInterest exists in the owlOntology;undefined
https://saref.etsi.org/core;["State"];Open Connectivity Foundation (OCF);State exists in the owlOntology;passed
https://saref.etsi.org/core;["SetLevelCommand"];Open Connectivity Foundation (OCF);SetLevelCommand exists in the owlOntology;undefined
