Term;Key
;FeatureProperty>
PhysicalThing;PhysicalThing
monitorsFeatureProperty;monitorsFeatureProperty
FeatureProperty;FeatureProperty
actsOnFeatureProperty;actsOnFeatureProperty
represents;represents
interactsWith;interactsWith
connects;connects
HumanUser;HumanUser
DigitalUser;DigitalUser
Gateway;Gateway
exposes;exposes
interactsThrough;interactsThrough
Network;Network
DataStore;DataStore
VirtualUser;VirtualUser
Thing;Thing
Actuator;Actuator
Agent;Agent
hasTag;hasTag
Device;Device
Service;Service
thingName;thingName
DigitalThing;DigitalThing
IoTSystem;IoTSystem
interactsUsing;interactsUsing
VirtualThing;VirtualThing
areConnectedWith;areConnectedWith
isAccessibleThrough;isAccessibleThrough
Links;Links
holds;holds
uses;uses
Tag;Tag
Application;Application
Person;Person
Link;Link
Sensor;Sensor
monitors;monitors
