Provenance;Terms involved;Ontology;Requirement description;Result
https://w3id.org/saref#;'["Meter","Device","Applicance","FunctionRelated","Actuator","Lighting","HVAC"]';https://ontology.tno.nl/saref.ttl;"The FunctionRelated category can be specialized into: Actuator; Applicance; HVAC; Lighting; Meter; MicroRenewable; Multimedia; Network; Sensor";undefined
https://w3id.org/saref#;'["BuildingRelated","Device","EneryRelated","FunctionRelated"]';https://ontology.tno.nl/saref.ttl;"The devices can be classified into categories: FunctionRelated; EneryRelated and BuildingRelated";undefined
https://w3id.org/saref#;'["BuildingObject","specify","Space","BuildingSpace","SpatialThing"]';https://ontology.tno.nl/saref.ttl;"A building space is a geographical point characterized by a certain altitude; latitude and longitude";undefined
https://w3id.org/saref#;'["BuildingObject","openedby","Actuator","closedby"]';https://ontology.tno.nl/saref.ttl;A building object can be opened or closed by an actuator;undefined
https://w3id.org/saref#;'["Meter","FunctionRelated"]';https://ontology.tno.nl/saref.ttl;A meter is a functionRelated device ;passed
https://w3id.org/saref#;'["DimmerLamp","control","Light"]';https://ontology.tno.nl/saref.ttl;A dimmer lamp performs an actuating level control ;undefined
https://w3id.org/saref#;'["DimmerLamp","performs","LevelControl"]';https://ontology.tno.nl/saref.ttl;A dimmer lamp performs an actuating level control ;undefined
https://w3id.org/saref#;'["DimmerLamp","Actuator","Lighting"]';https://ontology.tno.nl/saref.ttl;A dimmer lamp is a device that has category Lighting and Actuator;undefined
https://w3id.org/saref#;'["Time","consistsOf","TemporalEntity"]';https://ontology.tno.nl/saref.ttl;The time can be specified in terms of instants or intervals;passed
https://w3id.org/saref#;'["Power","isMeasuredIn","PowerUnit"]';https://ontology.tno.nl/saref.ttl;The power is characterized by a certain value that is measured in a certain unit of measure;absent
https://w3id.org/saref#;'["Price","isMeasuredIn","Currency"]';https://ontology.tno.nl/saref.ttl;"The price is also characterized by a value using currency; which is a type of unit of measure";absent
https://w3id.org/saref#;'["Device","control","BuildingObject"]';https://ontology.tno.nl/saref.ttl;"Building objects are objects in the building that can be controlled by devices; such as doors or windows";absent
https://w3id.org/saref#;'["BuildingSpace","contains","Devices","BuildingObjects"]';https://ontology.tno.nl/saref.ttl;A building space contains devices or building objects;undefined
https://w3id.org/saref#;'["BuildingSpace","define","PhysicalSpace"]';https://ontology.tno.nl/saref.ttl;A device can optionally  have a description;undefined
https://w3id.org/saref#;'["Device","hasDescription","string"]';https://ontology.tno.nl/saref.ttl;A device can optionally  have a description;passed
https://w3id.org/saref#;'["Device","hasModel","string"]';https://ontology.tno.nl/saref.ttl;A device shall have a model property;not passed
https://w3id.org/saref#;'["Device","hasModel","string"]';https://ontology.tno.nl/saref.ttl;A device shall have a model property;not passed
https://w3id.org/saref#;'["EnergyMeter","Device","WashingMachine","TemperatureSensor"]';https://ontology.tno.nl/saref.ttl;"Examples of devices are a light switch; a temperature sensor; an energy meter; a washing machine";passed
https://w3id.org/saref#;'["Device","hasFunction","Function"]';https://ontology.tno.nl/saref.ttl;A device performs one or more functions;passed
https://w3id.org/saref#;["Device"];https://ontology.tno.nl/saref.ttl;What is a device?;passed
https://w3id.org/saref#;'["EnergyMeter","hasFunction","MeteringFunction"]';https://ontology.tno.nl/saref.ttl;An energy meter is a device that has category Meter;passed
https://w3id.org/saref#;["Function"];https://ontology.tno.nl/saref.ttl;A function represents the functionality necessary to accomplish the task for which a device is designed;passed
https://w3id.org/saref#;'["DoorSwitch","accomplishes","Safety"]';https://ontology.tno.nl/saref.ttl;A door switch is used for the purpose of controlling doors;absent
https://w3id.org/saref#;'["DoorSwitch","hasFunction","OpenCloseFunction"]';https://ontology.tno.nl/saref.ttl;A door switch  performs the open/close function;passed
https://w3id.org/saref#;'["Switch","consistsOf","Actuator"]';https://ontology.tno.nl/saref.ttl;A door switch is a device that consists of a switch;absent
https://w3id.org/saref#;'["Switch","Actuator"]';https://ontology.tno.nl/saref.ttl; A switch is a device that has category Actuator;passed
https://w3id.org/saref#;'["SmokeSensor","measuresProperty","Smoke"]';https://ontology.tno.nl/saref.ttl;A smoke sensor  is used for the purpose of sensing smoke;passed
https://w3id.org/saref#;'["SmokeSensor","hasFunction","EventFunction","SensingFunction"]';https://ontology.tno.nl/saref.ttl;A smoke sensor performs a sensing and event function;passed
https://w3id.org/saref#;'["SmokeSensor","consistsOf","Sensor"]';https://ontology.tno.nl/saref.ttl;A smoke sensor is a device that consists of a sensor;passed
https://w3id.org/saref#;'["SmokeSensor","Sensor"]';https://ontology.tno.nl/saref.ttl;A smoke sensor is a device that has category Sensor;passed
https://w3id.org/saref#;'["WashingMachine","hasFunction","StartStopFunction"]';https://ontology.tno.nl/saref.ttl;A washing machine performs an actuating start/pause function;passed
https://w3id.org/saref#;'["Washing","Task","WashingMachine","accomplishes"]';https://ontology.tno.nl/saref.ttl;A washing machine accomplishes the task of washing ;absent
https://w3id.org/saref#;'["Device","hasProfile","Profile"]';https://ontology.tno.nl/saref.ttl;A device can be characterized by a profile. ;not passed
https://w3id.org/saref#;'["Device","hasProfile","Profile"]';https://ontology.tno.nl/saref.ttl;A device can be characterized by a profile. ;not passed
