Provenance;Terms involved;Ontology;Requirement description;Result
http://www.w3.org/ns/ssn;'["Procedure","hasOutput","Output"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A procedure has an output;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasResult","Result"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A sampling has a result;undefined
http://www.w3.org/ns/ssn;'["Actuation","hasResult","Result"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;An actuation has a result;undefined
http://www.w3.org/ns/ssn;'["Sample","FeatureOfInterest","Result"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A sample is a type of feature of interest and result;undefined
http://www.w3.org/ns/ssn;'["Deployment","forProperty","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Deployment is associated to a property;undefined
http://www.w3.org/ns/ssn;["Sensor"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a sensor?;undefined
http://www.w3.org/ns/ssn;["Actuator"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is an actuator?;undefined
http://www.w3.org/ns/ssn;["Procedure"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a procedure?;undefined
http://www.w3.org/ns/ssn;["Deployment"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a deployment?;undefined
http://www.w3.org/ns/ssn;'["Platform","inDeployment","Deployment"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Platform has a deployment;undefined
http://www.w3.org/ns/ssn;'["Platform","deployedSystem","System"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A platform is deployed by some system;undefined
http://www.w3.org/ns/ssn;["System"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a system?;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasResult","Sample"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A sampling is linked to at least one sample;undefined
http://www.w3.org/ns/ssn;'["Sensor","observes","ObservableProperty"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A sensor observes only observable properties;undefined
http://www.w3.org/ns/ssn;'["ObservableProperty","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;An observable property is a type of property;undefined
http://www.w3.org/ns/ssn;'["ObservableProperty","isObservedBy","Sensor"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;An observable property is observed by only sensors;undefined
http://www.w3.org/ns/ssn;'["Observation","hasFeatureOfInterest","FeatureOfInterest"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;An observation is related only to one feature of interest;undefined
http://www.w3.org/ns/ssn;'["Observation","wasOriginatedBy","Stimulus"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;The observation is originated by  exactly one stimulus;undefined
http://www.w3.org/ns/ssn;'["Observation","hasResult","Result"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;An observation has only  results;undefined
http://www.w3.org/ns/ssn;'["Sensor","System"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A sensor is a type of system;undefined
http://www.w3.org/ns/ssn;["FeatureOfInterest"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is feature of interest?;undefined
http://www.w3.org/ns/ssn;'["System","implements","Procedure"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A system implements a procedure;undefined
http://www.w3.org/ns/ssn;'["System","hasSubSystem"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A system can have subsystems;undefined
http://www.w3.org/ns/ssn;'["Procedure","hasInput","Input"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A procedure has an input;undefined
http://www.w3.org/ns/ssn;["Sensor"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a sensor?;undefined
http://www.w3.org/ns/ssn;'["Sensor","detects","Stimulus"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Sensor detects an stimulus;undefined
http://www.w3.org/ns/ssn;["Stimulus"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a stimulus?;undefined
http://www.w3.org/ns/ssn;'["Observation","wasOriginatedBy","Stimulus"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;An observation is originated by a stimulus;undefined
http://www.w3.org/ns/ssn;["Property"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;What is a property?;undefined
http://www.w3.org/ns/ssn;'["Stimulus","isProxyFor","Property","isPropertyOf","FeatureOfInterest"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;The stimulus is proxy for a property;undefined
http://www.w3.org/ns/ssn;'["Actuator","madeActuation","Actuation"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;An actuator mades only actuations;undefined
