Provenance;Terms involved;Ontology;Requirement description;Result
https://saref.etsi.org/core/v3.1.1/;["Water"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Water exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["OpenCloseFunction"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OpenCloseFunction exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Task"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Task exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Meter"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Meter exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["GetMeterDataCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;GetMeterDataCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["SmokeSensor"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;SmokeSensor exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["MultiLevelState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;MultiLevelState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Smoke"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Smoke exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["StartState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;StartState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["OffState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OffState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["SensingFunction"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;SensingFunction exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["HVAC"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;HVAC exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["DoorSwitch"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;DoorSwitch exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Light"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Light exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Coal"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Coal exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["CloseCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;CloseCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Currency"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Currency exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Occupancy"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Occupancy exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["MeteringFunction"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;MeteringFunction exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["GetCurrentMeterValueCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;GetCurrentMeterValueCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["GetMeterHistoryCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;GetMeterHistoryCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["ToggleCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;ToggleCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["GetSensingDataCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;GetSensingDataCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["OnOffState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OnOffState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["UnitOfMeasure"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;UnitOfMeasure exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["SetRelativeLevelCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;SetRelativeLevelCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["StartStopState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;StartStopState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Device"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Device exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["TemperatureUnit"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;TemperatureUnit exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Pressure"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Pressure exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["StepDownCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;StepDownCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["StopCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;StopCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["OpenState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OpenState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Switch"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Switch exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Price"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Price exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["FeatureOfInterest"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;FeatureOfInterest exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["State"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;State exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["SetLevelCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;SetLevelCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Gas"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Gas exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["PressureUnit"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;PressureUnit exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["PauseCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;PauseCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Sensor"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Sensor exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Measurement"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Measurement exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["StartStopFunction"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;StartStopFunction exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Temperature"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Temperature exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["StartCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;StartCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Time"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Time exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Profile"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Profile exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Function"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Function exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["Commodity"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Commodity exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Appliance"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Appliance exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Electricity"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Electricity exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Energy"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Energy exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["OpenCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OpenCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["StepUpCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;StepUpCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Humidity"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Humidity exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["EventFunction"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;EventFunction exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["PowerUnit"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;PowerUnit exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["OnState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OnState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Property"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Property exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["CloseState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;CloseState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["IlluminanceUnit"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;IlluminanceUnit exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Actuator"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Actuator exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["OnOffFunction"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OnOffFunction exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Motion"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Motion exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["NotifyCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;NotifyCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["ActuatingFunction"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;ActuatingFunction exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["OpenCloseState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OpenCloseState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["EnergyUnit"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;EnergyUnit exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Service"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Service exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["TemperatureSensor"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;TemperatureSensor exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["LightSwitch"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;LightSwitch exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["GetCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;GetCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["OnCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OnCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Command"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Command exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["OffCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OffCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["SetAbsoluteLevelCommand"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;SetAbsoluteLevelCommand exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["SwitchOnService"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;SwitchOnService exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["LevelControlFunction"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;LevelControlFunction exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["StopState"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;StopState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;["Power"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Power exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["isMeasurementOf","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isMeasurementOf exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["isOfferedBy","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isOfferedBy exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["accomplishes","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;accomplishes exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasMeterReadingType","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasMeterReadingType exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["measurementMadeBy","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;measurementMadeBy exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasModel","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasModel exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasTypicalConsumption","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasTypicalConsumption exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasTime","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasTime exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasTimestamp","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasTimestamp exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["represents","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;represents exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["isCommandOf","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isCommandOf exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasSensorType","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasSensorType exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasCommand","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasCommand exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;'["isMeasuredByDevice","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isMeasuredByDevice exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasProfile","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasProfile exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["isMeasuredIn","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isMeasuredIn exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasPrice","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasPrice exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["offers","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;offers exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasMeterReading","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasMeterReading exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["relatesToProperty","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;relatesToProperty exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["isAccomplishedBy","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isAccomplishedBy exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["isUsedFor","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isUsedFor exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasDescription","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasDescription exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasSensingRange","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasSensingRange exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["consistsOf","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;consistsOf exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;'["hasValue","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasValue exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;'["hasMeasurement","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasMeasurement exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasState","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasState exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasProperty","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasProperty exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["isPropertyOf","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isPropertyOf exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["isAbout","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isAbout exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["actsUpon","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;actsUpon exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["measuresProperty","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;measuresProperty exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["controlsProperty","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;controlsProperty exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasFunction","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasFunction exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;'["relatesToMeasurement","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;relatesToMeasurement exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasManufacturer","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasManufacturer exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["makesMeasurement","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;makesMeasurement exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["isControlledByDevice","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;isControlledByDevice exists in the ontology;undefined
https://saref.etsi.org/core/v3.1.1/;'["hasThresholdMeasurement","Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasThresholdMeasurement exists in the ontology;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Variable"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Variable exists in the ontology;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Device"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Device exists in the ontology;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["MeasuringFunction"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;MeasuringFunction exists in the ontology;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["InterworkedDevice"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;InterworkedDevice exists in the ontology;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["OperationInput"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;OperationInput exists in the ontology;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["StructuredTypeVariable"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;StructuredTypeVariable exists in the ontology;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["GET_InputDataPoint"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;GET_InputDataPoint exists in the ontology;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Service"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Service exists in the ontology;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Operation"];https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Operation exists in the ontology;passed
