Provenance;Terms involved;Ontology;Requirement description;Result
https://saref.etsi.org/core/v3.1.1/;'["DoorSwitch","hasFunction","OpenCloseFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A door switch performs the open-close function.;undefined
https://saref.etsi.org/core/v3.1.1/;'["DoorSwitch","Actuator"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A door switch is an actuator.;undefined
https://saref.etsi.org/core/v3.1.1/;'["DoorSwitch","consistsOf","Switch"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A door switch consists of a switch.;undefined
https://saref.etsi.org/core/v3.1.1/;'["Switch","hasFunction","OpenCloseFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A switch performs an actuating function of type on-off and open-close.;undefined
https://saref.etsi.org/core/v3.1.1/;'["Switch","hasFunction","OnOffFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A switch performs an actuating function of type on-off and open-close.;undefined
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","ActuatingFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Examples of actuating functions are the on off function and the level control function.;undefined
https://saref.etsi.org/core/v3.1.1/;'["LevelControlFunction","ActuatingFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Examples of actuating functions are the on off function and the level control function.;undefined
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","hasCommand","OnCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;"The on off function allows the commands on; off and toggle.";undefined
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","hasCommand","OffCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;"The on off function allows the commands on; off and toggle.";undefined
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","hasCommand","ToggleCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;"The on off function allows the commands on; off and toggle.";undefined
https://saref.etsi.org/core/v3.1.1/;'["LevelControlFunction","hasCommand","SetLevelCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;"The level control function allows the commands set level;  step up and step down.";undefined
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","hasCommand","StepUpCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;"The level control function allows the commands set level;  step up and step down.";undefined
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","hasCommand","StepDownCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;"The level control function allows the commands set level;  step up and step down.";undefined
https://saref.etsi.org/core/v3.1.1/;'["SensingFunction","hasCommand","GetCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;The sensing funcion allows the get command.;passed
https://saref.etsi.org/core/v3.1.1/;'["MeteringFunction","hasCommand","GetCurrentMeterValueCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;"The metering funcion allows the commands related to get the current meter value; get the meter data and get the meter history.";undefined
https://saref.etsi.org/core/v3.1.1/;'["Switch","Actuator"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A switch is an actuator.;undefined
https://saref.etsi.org/core/v3.1.1/;'["MeteringFunction","hasCommand","GetMeterDataCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;"The metering funcion allows the commands related to get the current meter value; get the meter data and get the meter history.";undefined
https://saref.etsi.org/core/v3.1.1/;'["MeteringFunction","hasCommand","GetMeterHistoryCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;"The metering funcion allows the commands related to get the current meter value; get the meter data and get the meter history.";undefined
https://saref.etsi.org/core/v3.1.1/;'["EventFunction","hasCommand","NotifyCommand"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;The event function allows the command notify.;undefined
https://saref.etsi.org/core/v3.1.1/;'["Sensor","hasFunction","SensingFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A sensor performs a sensing function.;undefined
https://saref.etsi.org/core/v3.1.1/;'["TemperatureSensor","consistsOf","Sensor"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A temperature sensor consists of a sensor.;undefined
https://saref.etsi.org/core/v3.1.1/;'["TemperatureSensor","hasFunction","SensingFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A temperature sensor performs the sensing function.;undefined
https://saref.etsi.org/core/v3.1.1/;'["TemperatureSensor","measuresProperty","Temperature"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A temperature sensor measures the temperature.;undefined
https://saref.etsi.org/core/v3.1.1/;'["SmokeSensor","consistsOf","Sensor"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A smoke sensor consists of a sensor.;undefined
https://saref.etsi.org/core/v3.1.1/;'["SmokeSensor","hasFunction","SensingFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A smoke sensor performs the sensing and event functions.;undefined
https://saref.etsi.org/core/v3.1.1/;'["SmokeSensor","hasFunction","EventFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A smoke sensor performs the sensing and event functions.;undefined
https://saref.etsi.org/core/v3.1.1/;'["Measurement","relatesToProperty","core:Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A measurement is related to a property.;undefined
https://saref.etsi.org/core/v3.1.1/;'["Measurement","isMeasuredIn","UnitOfMeasure"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A measurement is described according to a given unit of measure.;undefined
https://saref.etsi.org/core/v3.1.1/;'["Measurement","hasTimestamp","datetime"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A measurement can have a timestamp.;undefined
https://saref.etsi.org/core/v3.1.1/;'["FeatureOfInterest","hasMeasurement","Measurement"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A feature of interest can be associated to a measurement.;undefined
https://saref.etsi.org/core/v3.1.1/;'["Power","core:Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Examples of properties are: Power and energy.;undefined
https://saref.etsi.org/core/v3.1.1/;'["Energy","core:Property"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Examples of properties are: Power and energy.;undefined
https://saref.etsi.org/core/v3.1.1/;'["PowerUnit","UnitOfMeasure"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;The power unit is a unit of measurement.;undefined
https://saref.etsi.org/core/v3.1.1/;'["EnergyUnit","UnitOfMeasure"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;The energy unit is a unit of measurment.;undefined
https://saref.etsi.org/core/v3.1.1/;'["core:Property","relatesToMeasurement","Measurement"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;A property is related to a measurement.;undefined
https://saref.etsi.org/core/v3.1.1/;'["Meter","hasFunction","MeteringFunction"]';https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Meter hasFunction MeteringFunction.;undefined
