Provenance;Terms involved;Ontology;Requirement description;Result
https://saref.etsi.org/core/v3.1.1/;'["DoorSwitch","hasFunction","OpenCloseFunction"]';https://saref.etsi.org/core/v3.1.1/;A door switch performs the open-close function.;passed
https://saref.etsi.org/core/v3.1.1/;'["DoorSwitch","Actuator"]';https://saref.etsi.org/core/v3.1.1/;A door switch is an actuator.;passed
https://saref.etsi.org/core/v3.1.1/;'["DoorSwitch","consistsOf","Switch"]';https://saref.etsi.org/core/v3.1.1/;A door switch consists of a switch.;passed
https://saref.etsi.org/core/v3.1.1/;'["Switch","hasFunction","OpenCloseFunction"]';https://saref.etsi.org/core/v3.1.1/;A switch performs an actuating function of type on-off and open-close.;passed
https://saref.etsi.org/core/v3.1.1/;'["Switch","hasFunction","OnOffFunction"]';https://saref.etsi.org/core/v3.1.1/;A switch performs an actuating function of type on-off and open-close.;passed
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","ActuatingFunction"]';https://saref.etsi.org/core/v3.1.1/;Examples of actuating functions are the on off function and the level control function.;passed
https://saref.etsi.org/core/v3.1.1/;'["LevelControlFunction","ActuatingFunction"]';https://saref.etsi.org/core/v3.1.1/;Examples of actuating functions are the on off function and the level control function.;passed
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","hasCommand","OnCommand"]';https://saref.etsi.org/core/v3.1.1/;"The on off function allows the commands on; off and toggle.";passed
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","hasCommand","OffCommand"]';https://saref.etsi.org/core/v3.1.1/;"The on off function allows the commands on; off and toggle.";passed
https://saref.etsi.org/core/v3.1.1/;'["OnOffFunction","hasCommand","ToggleCommand"]';https://saref.etsi.org/core/v3.1.1/;"The on off function allows the commands on; off and toggle.";passed
https://saref.etsi.org/core/v3.1.1/;'["LevelControlFunction","hasCommand","SetLevelCommand"]';https://saref.etsi.org/core/v3.1.1/;"The level control function allows the commands set level;  step up and step down.";passed
