Provenance;Terms involved;Requirement type;Results;Requirement description
;[];relation-existential;undefined;A virtual entity interacts through an endpoint
;[];relation-existential;undefined;A service can use data stores
;[];relation-existential;undefined;A service can interact with other services
;[];relation-existential;undefined;A service interacts with zero or more IoT devices
;[];relation-existential;undefined;A service interacts with zero or more IoT gateways
;[];relation-existential;undefined;A service interacts with other entities via one or more networks
;[];relation-existential;undefined;IoT device exposes one or more endpoints
;[];relation-existential;undefined;IoT device interacts with one or more networks 
;[];relation-existential;undefined;IoT gateways use data stores
;[];relation-existential;undefined;IoT gateways connect IoT devices
;[];relation-existential;undefined;IoT gateways expose endpoints
;[];relation-existential;undefined;IoT gateways interact through networks
;[];subclass;undefined;An IoT gateway is a digital entity 
;[];cardinality;undefined;A service exposes one or more endpoints by which it can be invoked
;[];relation-existential;undefined;A network connects endpoints
;[];cardinality;undefined;An entity can have more than one identifier
;[];relation-existential;undefined;An entity  has an identifier
;[];relation-existential;undefined;Data Stores hold data relating to IoT systems 
;[];relation-existential;undefined;IoT devices are connected with an IoT gateway 
;[];relation-existential;undefined;IoT devices interact through a network
;[];subclass;undefined;The IoT-User can be human (human user) or non-human (digital user)
;[];subclass;undefined;Actuators and sensors are kinds of IoT device
;[];relation-existential;undefined;A virtual entity represents a physical entity
;[];relation-existential;undefined;A physical entity may have one or more  attached tag
;[];relation-existential;undefined;A physical entity is controlled by an actuator
;[];relation-existential;undefined;A physical entity is controlled by an actuator
;[];subclass;undefined;An Entity can be physical or virtual
;[];relation-existential;undefined;An applications can interact with other services via the network
;[];subclass;undefined;An application is a specialized form of service
;[];relation-existential;undefined;A human user interacts using applications
;[];relation-existential;undefined;Sensors can monitor the tag attached to a physical entity rather than the physical entity itself
;[];subclass;undefined;An application typically uses Services
;[];relation-existential;undefined;Human users uses applications
;[];relation-existential;undefined;"Data associated with services; devices and gateways can be held in data stores"
;[];subclass;undefined;Everything in an IoT system is a kind of entity
;[];relation-existential;undefined;Digital user consumes services
;[];relation-universal;passed;Platform has a deployment
;[];relation-universal;absent;A platform is deployed by some system
;[];relation-universal;passed;What is a system?
;[];relation-universal;passed;Deployment is associated to a property
;[];relation-existential;undefined;What is a property?
;[];definition;passed;What is a sensor?
;[];relation-universal;passed;What is an actuator?
;[];relation-universal;passed;What is a procedure?
;[];relation-universal;passed;What is a deployment?
;[];relation-universal;passed;What is a system?
;[];relation-universal;passed;What is feature of interest?
;[];relation-universal;passed;A system implements a procedure
;[];relation-universal;undefined;A system can have subsystems
;[];relation-universal;undefined;A property is a property of a feature of interest
;[];definition;passed;A procedure has an input
;[];relation-universal;passed;A producedure has an output
;[];definition;passed;What is a stimulus?
;[];relation-universal;passed;What is a sensor?
;[];relation-universal;passed;Sensor detects an stimulus
;[];relation-universal;passed;What is a stimulus?
;[];relation-universal;passed;An observation is originated by a stimulus
;[];relation-universal;undefined;What is a property?
;[];subclass;undefined;An operation is the -machine interpretable- exposure of a -human understandable- command to a network
;[];relation-existential;undefined;An operation is the means of a service to communicate in a procedure-type manner over the network (i.e. transmit data to/from other devices)
;[];relation-existential;undefined;"A measuring functionality represents a functionality that has no impacts on the real world; but only gathers data"
;[];subclass;undefined;"A controlling functionality represents a functionality that has impacts on the real world; but does not gather data"
;[];relation-existential;undefined;A functionality has commands that allow human users to influence/observe such functionality
;[];subclass;undefined;A functionality represents the functionality necessary to accomplish the task for which a device is designed
;[];relation-existential;undefined;A service has an output data point
;[];relation-existential;undefined;A service has an input data point
